SeniorCitizen,tenure,MonthlyCharges,TotalCharges,customer_value,Contract_One year,Contract_Two year,Dependents_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,InternetService_Fiber optic,InternetService_No,OnlineBackup_No internet service,OnlineBackup_Yes,OnlineSecurity_No internet service,OnlineSecurity_Yes,PaperlessBilling_Yes,Partner_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,StreamingMovies_No internet service,StreamingMovies_Yes,StreamingTV_No internet service,StreamingTV_Yes,TechSupport_No internet service,TechSupport_Yes,contract_numeric_2,contract_numeric_3,monthly_charges_group_高消费,tenure_group_3-5年,tenure_group_5年以上,monthly_tenure_interaction,avg_monthly_charge,customer_cluster
0,1,29.85,29.85,29.85,False,False,False,False,False,False,False,False,True,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,29.85,29.85,3
0,34,56.95,1889.5,1936.3000000000002,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,1936.3000000000002,55.5735294117647,1
0,2,53.85,108.15,107.7,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,107.7,54.075,3
0,45,42.3,1840.75,1903.4999999999998,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,1903.4999999999998,40.90555555555556,1
0,2,70.7,151.65,141.4,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,141.4,75.825,3
0,8,99.65,820.5,797.2,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,797.2,102.5625,3
0,22,89.1,1949.4,1960.1999999999998,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,1960.1999999999998,88.60909090909091,1
0,10,29.75,301.9,297.5,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,297.5,30.189999999999998,3
0,28,104.8,3046.05,2934.4,False,False,False,False,True,True,False,False,False,False,False,True,True,False,True,False,False,True,False,True,False,True,False,False,False,False,False,2934.4,108.78750000000001,1
0,62,56.15,3487.95,3481.2999999999997,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,3481.2999999999997,56.25725806451613,0
0,13,49.95,587.45,649.35,False,False,True,False,False,False,False,False,False,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,649.35,45.18846153846154,3
0,16,18.95,326.8,303.2,False,True,False,True,False,False,True,True,False,True,False,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False,False,303.2,20.425,3
0,58,100.35,5681.1,5820.299999999999,True,False,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,True,False,True,False,False,True,False,False,True,False,5820.299999999999,97.95,2
0,49,103.7,5036.3,5081.3,False,False,False,False,True,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,5081.3,102.78163265306122,0
0,25,105.5,2686.05,2637.5,False,False,False,False,True,True,False,False,False,False,True,True,False,False,True,False,False,True,False,True,False,True,False,False,False,False,False,2637.5,107.44200000000001,1
0,69,113.25,7895.15,7814.25,False,True,True,False,True,True,False,False,True,False,True,False,True,True,False,False,False,True,False,True,False,True,False,True,False,False,True,7814.25,114.42246376811593,2
0,52,20.65,1022.95,1073.8,True,False,False,True,False,False,True,True,False,True,False,False,False,False,False,True,True,False,True,False,True,False,True,False,False,True,False,1073.8,19.672115384615385,3
0,71,106.7,7382.25,7575.7,False,True,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,7575.7,103.97535211267606,2
0,10,55.2,528.35,552.0,False,False,True,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,552.0,52.835,3
0,21,90.05,1862.9,1891.05,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,1891.05,88.70952380952382,1
1,1,39.65,39.65,39.65,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,39.65,39.65,3
0,12,19.8,202.25,237.60000000000002,True,False,False,True,False,False,True,True,False,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,False,237.60000000000002,16.854166666666668,3
0,1,20.15,20.15,20.15,False,False,False,True,False,False,True,True,False,True,False,False,False,False,False,True,True,False,True,False,True,False,False,False,False,False,False,20.15,20.15,3
0,58,59.9,3505.1,3474.2,False,True,False,False,False,False,False,False,True,False,False,True,True,True,False,False,False,False,False,False,False,True,False,True,False,True,False,3474.2,60.432758620689654,0
0,49,59.6,2970.3,2920.4,False,False,True,False,False,False,False,False,True,False,True,False,True,True,False,False,False,False,False,False,False,True,False,False,False,True,False,2920.4,60.61836734693878,1
0,30,55.3,1530.6,1659.0,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1659.0,51.019999999999996,1
0,47,99.35,4749.15,4669.45,False,False,True,False,False,True,False,False,True,False,False,True,True,False,True,False,False,True,False,True,False,False,False,False,True,True,False,4669.45,101.04574468085106,0
0,1,30.2,30.2,30.2,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,30.2,30.2,3
0,72,90.25,6369.45,6498.0,False,True,False,False,True,False,False,False,True,False,True,True,True,True,False,False,False,True,False,True,False,True,False,True,True,False,True,6498.0,88.46458333333334,2
0,17,64.7,1093.1,1099.9,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,1099.9,64.3,3
1,71,96.35,6766.95,6840.849999999999,False,True,False,False,True,True,False,False,True,False,True,True,True,True,False,False,False,False,False,False,False,True,False,True,True,False,True,6840.849999999999,95.30915492957746,2
1,2,95.5,181.65,191.0,False,False,False,False,True,True,False,False,False,False,False,True,True,True,False,False,False,True,False,True,False,False,False,False,True,False,False,191.0,90.825,3
0,27,66.15,1874.45,1786.0500000000002,True,False,True,False,True,False,False,False,True,False,True,False,True,False,False,True,False,False,False,False,False,True,True,False,False,False,False,1786.0500000000002,69.42407407407407,1
0,1,20.2,20.2,20.2,False,False,False,True,False,False,True,True,False,True,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,20.2,20.2,3
1,1,45.25,45.25,45.25,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,45.25,45.25,3
0,72,99.9,7251.7,7192.8,False,True,True,False,False,True,False,False,True,False,True,False,True,False,False,False,False,False,False,True,False,True,False,True,True,False,True,7192.8,100.71805555555555,2
0,5,69.7,316.9,348.5,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,348.5,63.379999999999995,3
0,46,74.8,3548.3,3440.7999999999997,False,False,False,False,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,3440.7999999999997,77.13695652173914,0
0,34,106.35,3549.25,3615.8999999999996,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,3615.8999999999996,104.38970588235294,0
0,11,97.85,1105.4,1076.35,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,1076.35,100.4909090909091,3
0,10,49.55,475.7,495.5,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,495.5,47.57,3
0,70,69.2,4872.35,4844.0,False,True,True,False,False,False,False,False,True,False,True,True,True,True,False,False,False,False,False,True,False,False,False,True,False,False,True,4844.0,69.605,0
0,17,20.75,418.25,352.75,True,False,True,True,False,False,True,True,False,True,False,False,True,False,False,True,True,False,True,False,True,False,True,False,False,False,False,352.75,24.602941176470587,3
0,63,79.85,4861.45,5030.549999999999,False,True,False,False,True,False,False,False,True,False,True,True,False,True,False,False,False,False,False,True,False,True,False,True,True,False,True,5030.549999999999,77.16587301587302,0
0,13,76.2,981.45,990.6,False,False,False,False,False,False,False,False,True,False,True,True,True,False,True,False,False,False,False,True,False,True,False,False,True,False,False,990.6,75.49615384615385,3
0,49,84.5,3906.7,4140.5,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,True,False,4140.5,79.72857142857143,0
0,2,49.25,97.0,98.5,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,98.5,48.5,3
0,2,80.65,144.15,161.3,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,161.3,72.075,3
