column,dtype,count,unique,missing_rate
customerID,object,7043,7043,0.0
gender,category,7043,2,0.0
SeniorCitizen,int64,7043,2,0.0
Partner,category,7043,2,0.0
Dependents,category,7043,2,0.0
tenure,int64,7043,73,0.0
PhoneService,category,7043,2,0.0
MultipleLines,category,7043,3,0.0
InternetService,category,7043,3,0.0
OnlineSecurity,category,7043,3,0.0
OnlineBackup,category,7043,3,0.0
DeviceProtection,category,7043,3,0.0
TechSupport,category,7043,3,0.0
StreamingTV,category,7043,3,0.0
StreamingMovies,category,7043,3,0.0
Contract,category,7043,3,0.0
PaperlessBilling,category,7043,2,0.0
PaymentMethod,category,7043,4,0.0
MonthlyCharges,float64,7043,1585,0.0
TotalCharges,float64,7043,6531,0.0
Churn,category,7043,2,0.0
